CFA,Q1,AGE13,PHD,CA9C,CA10C,CA11,CA12,SALPRSFIN,DIPL0,DIPL1,DIPL2a,DIPL2b,DIPL2c,DIPL3,DIPL4,DIPL5a,DIPL5b,DIPL6a,DIPL6b,DIPL6c,DIPL7
2,1,25,16,5,9,6,5,3433,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,24,16,3,2,4,4,3183.6953125,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,21,11L,4,9,3,5,3150.328125,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1,25,14L,4,2,6,3,3250,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,22,16,3,9,3,1,2923,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,25,16,5,2,2,4,2400,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,24,16,4,2,4,5,2374.796875,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,23,16,3,1,2,2,2850,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,23,16,4,4,6,7,2467,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,23,16,4,2,5,1,1825,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,23,16,2,4,1,5,2500,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,26,16,4,1,6,5,2500,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,24,16,1,2,2,4,2510,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,24,16,4,4,6,6,2060,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,23,16,2,2,7,3,1800,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,24,16,1,7,2,7,1950,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,26,18M,4,9,3,4,2230,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,25,16,7,7,7,7,1686,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,23,16,4,4,6,6,2100,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,25,16,3,9,4,1,2748,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,23,16,1,3,2,3,2237.6992188,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,23,16,1,9,1,1,2634,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,23,16,4,3,6,6,1878,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,23,16,4,4,5,5,1588,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,23,16,6,3,1,4,1842,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,26,16,6,5,4,6,2708,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,24,16,5,1,2,2,2287.6875,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,25,16,4,3,6,4,4083,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,23,16,5,1,2,4,2200,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,23,16,6,6,1,1,2215,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,23,16,2,2,2,1,2073,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,23,16,1,2,2,2,2095,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,25,16,4,4,6,6,2167,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,24,16,3,4,2,5,2303,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,23,16,4,3,6,4,2508,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,25,16,4,4,7,7,1350,0,0,0,0,0,0,0,0,0,0,0,1,0
